name,geoid,county,state,cases,c_avg,c_avg_100
"Montmorency, Michigan",26119,Montmorency,Michigan,0,1.86,19.91
"Franklin, North Carolina",37069,Franklin,North Carolina,0,13.86,19.89
"Cabell, West Virginia",54011,Cabell,West Virginia,0,18.29,19.89
"San Diego, California",06073,San Diego,California,0,663.43,19.87
"Powder River, Montana",30075,Powder River,Montana,0,0.33,19.82
"Dickinson, Michigan",26043,Dickinson,Michigan,0,5.0,19.81
"Poquoson city, Virginia",51735,Poquoson city,Virginia,0,2.43,19.79
"Newport News city, Virginia",51700,Newport News city,Virginia,0,35.43,19.77
"Kent, Michigan",26081,Kent,Michigan,0,129.43,19.7
"Warren, Pennsylvania",42123,Warren,Pennsylvania,0,7.71,19.68
"San Juan, Colorado",08111,San Juan,Colorado,0,0.14,19.62
"Mecklenburg, Virginia",51117,Mecklenburg,Virginia,0,6.0,19.62
"Alpena, Michigan",26007,Alpena,Michigan,0,5.57,19.61
"Union, North Carolina",37179,Union,North Carolina,0,47.0,19.59
"Suffolk city, Virginia",51800,Suffolk city,Virginia,0,18.0,19.54
"Caledonia, Vermont",50005,Caledonia,Vermont,0,5.86,19.53
"Cuyahoga, Ohio",39035,Cuyahoga,Ohio,0,241.0,19.51
"Jefferson, West Virginia",54037,Jefferson,West Virginia,0,11.14,19.5
"Tucker, West Virginia",54093,Tucker,West Virginia,0,1.33,19.5
"St. Louis city, Missouri",29510,St. Louis city,Missouri,0,58.43,19.44
"Philadelphia, Pennsylvania",42101,Philadelphia,Pennsylvania,0,306.14,19.33
"York, Virginia",51199,York,Virginia,0,13.14,19.25
"Piatt, Illinois",17147,Piatt,Illinois,0,3.14,19.23
"Gordon, Georgia",13129,Gordon,Georgia,0,11.14,19.22
"Sibley, Minnesota",27143,Sibley,Minnesota,0,2.86,19.22
"Lexington city, Virginia",51678,Lexington city,Virginia,0,1.43,19.19
"Taylor, Texas",48441,Taylor,Texas,0,26.43,19.15
"Summit, Ohio",39153,Summit,Ohio,0,103.57,19.14
"Grand Forks, North Dakota",38035,Grand Forks,North Dakota,0,13.29,19.13
"Yellow Medicine, Minnesota",27173,Yellow Medicine,Minnesota,0,1.86,19.13
"Manassas city, Virginia",51683,Manassas city,Virginia,0,7.86,19.12
"Jefferson, Colorado",08059,Jefferson,Colorado,0,111.43,19.12
"Todd, Minnesota",27153,Todd,Minnesota,0,4.71,19.11
